섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
"부동산 임대, 개발 및 운영",60101010,000656,Jinke Property Group Co Ltd Class A,szse,2026-08-25,5.32,5.41,5.24,5.41,+37.44%,+5.97%,0.13,2.56,"9,865,500",53,N/A
비즈니스 지원 용품,52203060,002301,Shenzhen Comix Group Co Ltd Class A,szse,2026-08-25,"1,729","1,746","1,710","1,729",+8.33%,+2.31%,8,0.46,"67,700",117,N/A
산업용 기계 및 장비,52102010,002122,HuiZhou Intelligence Technology Group Co Ltd Class A,szse,2026-08-26,2.79,2.87,2.78,2.82,+0.36%,+2.55%,0.03,1.08,"20,792,000",58,N/A
산업용 기계 및 장비,52102010,002690,Hefei Meyer Optoelectronic Technology Inc Class A,szse,2026-08-26,15.97,16.07,15.71,15.97,+2.57%,+2.63%,0,0.0,"5,874,080",93,N/A
산업용 기계 및 장비,52102010,002031,Greatoo Intelligent Equipment Inc Class A,szse,2026-08-17,0.49,0.49,0.49,0.49,+40.00%,+0.00%,0,0.0,"245,000",0,N/A
산업용 기계 및 장비,52102010,002009,Miracle Automation Engineering Co Ltd Class A,szse,2026-08-13,"1,092","1,092","1,087","1,092",+0.55%,+0.37%,3,0.28,"12,700",13,N/A
산업용 기계 및 장비,52102010,002122,HuiZhou Intelligence Technology Group Co Ltd Class A,szse,2026-08-26,"1,459","1,461","1,456","1,461",+17.07%,+2.24%,2,0.14,"4,700",6,N/A
산업용 기계 및 장비,52102010,300171,Tofflon Science and Technology Group Co Ltd Class A,szse,2026-08-26,14.94,15.23,14.65,14.99,+26.60%,+0.60%,0.05,0.33,"23,092,279",346,N/A
상품 화학,51101010,002408,Zibo Qixiang Tengda Chemical Co Ltd Class A,szse,2026-08-25,5.44,5.50,5.34,5.45,+4.81%,+4.21%,0.06,1.11,"28,051,319",152,N/A
상품 화학,51101010,002493,Rongsheng Petrochemical Co Ltd Class A,szse,2026-08-21,13.76,14.49,13.58,14.37,+24.96%,+6.21%,0.61,4.43,"59,044,661",848,N/A
상품 화학,51101010,002648,Satellite Chemical Co Ltd Class A,szse,2026-08-20,27.10,27.50,26.31,27.39,+17.53%,+1.07%,1.03,3.91,"46,443,110","1,272",N/A
상품 화학,51101010,000635,Ningxia Younglight Chemicals Co Ltd Class A,szse,2026-08-25,0.50,0.50,0.50,0.50,+1.01%,+8.70%,0,0.0,"366,099",0,N/A
상품 화학,51101010,002226,Anhui Jiangnan Chemical Industry Co Ltd Class A,szse,2026-08-26,"4,880","4,885","4,870","4,885",+4.60%,+1.03%,5,0.1,"1,600",7,N/A
상품 화학,51101010,002805,Shandong Fengyuan Chemical Co Ltd Class A,szse,2026-08-26,"7,010","7,190","6,990","7,050",+25.22%,+3.98%,40,0.57,"62,500",440,N/A
생명 및 건강 보험,55301030,002423,COFCO Capital Holdings Co Ltd Class A,szse,2026-08-26,9.72,10,9.61,9.98,+6.97%,+10.28%,0.26,2.67,"47,693,287",475,N/A
소프트웨어,57201020,002528,Shenzhen Infinova Ltd Class A,szse,2026-08-24,6.03,6.10,5.72,6.10,+40.23%,+19.14%,0.34,5.9,"27,090,672",165,N/A
소프트웨어,57201020,002153,Beijing Shiji Information Technology Co Ltd Class A,szse,2026-08-26,"1,857","1,881","1,856","1,867",+14.54%,+5.06%,10,0.54,"72,200",134,N/A
