섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
의약품 제조업,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매",003120,일성아이에스,kospi,2026-09-10,"21,650","21,800","21,550","21,750",+10.41%,+5.84%,100,0.46,345,7,"2,892"
자동차 신품 부품 제조업,"자동차부품(워터펌프,오일펌프,엔진헤드(GV6),프론트케이스) 제조",010580,에스엠벡셀,kospi,2026-09-09,"2,540","2,635","2,500","2,545",+31.46%,+49.79%,5,0.2,"489,041","1,244","2,831"
자동차 신품 부품 제조업,자동차부품(자동차용 시트)제조,002880,디와이에이,kospi,2026-07-10,"1,063","4,185","3,610","3,785",+356.57%,+402.66%,"3,032",402.66,"39,447",149,"1,770"
자동차 신품 부품 제조업,"자동차용 부품(연료펌프,LPI SYSTEM, FCEV) 제조,판매",009680,모토닉,kospi,2026-09-07,"10,410","10,490","10,250","10,420",+2.36%,+0.48%,80,0.77,"4,053",42,"2,264"
전기 통신업,"시계,스마트그리드,도소매,소프트웨어개발",006490,프리티,kospi,2026-09-10,"1,840","2,390","2,250","2,390",+694.02%,+166.15%,550,29.89,"158,296",378,424
직물직조 및 직물제품 제조업,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매",003610,방림,kospi,2026-09-10,"5,740","5,860","5,700","5,860",+12.69%,+6.55%,120,2.09,"48,976",286,"1,881"
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",035510,신세계 I&C,kospi,2026-09-10,"16,170","16,210","15,800","16,210",+5.47%,+16.96%,40,0.25,"48,071",779,"2,266"
토목 건설업,"건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",005960,동부건설,kospi,2026-09-10,"8,300","8,390","8,160","8,320",+26.06%,+10.64%,20,0.24,"25,106",208,"1,909"
토목 건설업,"아파트건설,토목공사,건축공사,국내도급공사",002785,진흥기업우B,kospi,2026-09-07,"13,280","14,550","12,000","14,550",+336.94%,+989.07%,"1,930",15.29,670,9,12
토목 건설업,토목 건설 사업,375500,DL이앤씨,kospi,2026-09-10,"83,900","86,100","81,600","85,900",+1.06%,+17.03%,"2,000",2.38,"247,129","21,228","33,237"
토목 건설업,토목 건설 사업,37550K,DL이앤씨우,kospi,2026-09-10,"26,200","26,550","25,900","26,250",+0.00%,+5.85%,50,0.19,"1,146",30,554
토목 건설업,토목 건설 사업,37550L,DL이앤씨2우(전환),kospi,2026-09-10,"52,200","53,700","50,800","53,600",+0.19%,+11.32%,"1,400",2.68,"1,997",107,"1,132"
합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",28513K,SK케미칼우,kospi,2026-09-09,"25,250","25,500","24,750","25,500",+10.39%,+4.08%,400,1.59,"2,524",64,539
1차 철강 제조업,관이음쇠,014620,성광벤드,kosdaq global,2026-09-10,"34,600","36,400","33,200","35,250",+3.52%,+14.26%,650,1.88,"117,834","4,153","9,361"
오디오물 출판 및 원판 녹음업,"음반(CD,MC),연예 대리",041510,에스엠,kosdaq global,2026-09-08,"82,700","85,600","78,200","83,100",+1.09%,+5.19%,"2,200",2.72,"63,013","5,236","19,025"
1차 철강 제조업,"컬러강판, 아연도금강판 등 강판류",162300,신스틸,kosdaq,2026-09-10,"2,775","2,810","2,775","2,775",+59.48%,+31.83%,0,0.0,"262,330",727,"1,150"
광고업,광고대행,273060,와이즈버즈,kosdaq,2026-09-09,"4,145","4,190","3,975","4,160",+255.86%,+381.48%,100,2.46,"8,369",34,408
광고업,기업인수합병,363260,모비데이즈,kosdaq,2026-09-10,"4,250","4,350","4,045","4,295",+304.43%,+368.89%,45,1.06,"7,522",32,276
"그외 기타 전문, 과학 및 기술 서비스업",금융 지원 서비스,359090,씨엔알리서치,kosdaq,2026-09-10,"2,050","2,085","2,005","2,055",+273.64%,+3.74%,5,0.24,863,1,236
금융 지원 서비스업,금융 지원 서비스,473050,유안타제15호스팩,kosdaq,2026-08-24,"2,105","2,105","2,100","2,105",+1.20%,+0.00%,0,0.0,"31,480",66,147
금융 지원 서비스업,기업인수합병,0091W0,신영스팩11호,kosdaq,2026-07-01,"2,025","2,035","2,035","2,035",+0.49%,+0.74%,10,0.49,2,0,123
금융 지원 서비스업,기업인수합병,475240,하나32호스팩,kosdaq,2026-08-27,"2,100","2,100","2,100","2,100",+0.72%,+0.24%,10,0.48,2,0,67
금융 지원 서비스업,기업인수합병,479880,한국제15호스팩,kosdaq,2026-09-02,"2,075","2,075","2,065","2,075",+1.22%,+0.48%,10,0.48,655,1,142
금융 지원 서비스업,기업인수합병,482520,교보16호스팩,kosdaq,2026-09-02,"2,060","2,070","2,060","2,060",+1.48%,+0.00%,0,0.0,51,0,125
금융 지원 서비스업,기업인수합병,486630,KB제30호스팩,kosdaq,2026-08-31,"2,060","2,060","2,060","2,060",+0.73%,+0.24%,5,0.24,2,0,109
금융 지원 서비스업,기업인수합병,488060,유진스팩11호,kosdaq,2026-09-07,"2,045","2,055","2,055","2,055",+0.74%,+0.74%,20,0.98,35,0,96
금융 지원 서비스업,기업인수합병,492220,KB제31호스팩,kosdaq,2026-09-02,"2,040","2,040","2,040","2,040",+0.99%,+0.25%,5,0.25,16,0,126
금융 지원 서비스업,기타금융,477340,에이치엠씨제7호스팩,kosdaq,2026-09-09,"2,065","2,065","2,060","2,065",+1.13%,+0.24%,5,0.24,33,0,155
기계장비 및 관련 물품 도매업,"Autodesk 제품군 및 보안, 백신 소프트웨어 등",032190,다우데이타,kosdaq,2026-08-12,"20,500","20,700","19,990","20,550",+3.74%,+2.75%,570,2.85,"22,381",459,"7,870"
기타 금속 가공제품 제조업,이동형 모듈러 임대 및 판매,475230,엔알비,kosdaq,2026-08-27,"10,860","11,390","9,820","11,220",+9.68%,+12.76%,970,9.46,"136,269","1,528","1,222"
기타 금속 가공제품 제조업,자유형단조품,044490,태웅,kosdaq,2026-06-18,"39,800","41,900","38,850","39,850",-0.75%,+22.99%,"2,950",7.99,"535,196","21,327","7,972"
기타 금융업,"CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈",900260,로스웰,kosdaq,2026-09-10,"1,910","1,949","1,883","1,925",+17.24%,+9.69%,15,0.79,"1,819",3,886
기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등,900270,헝셩그룹,kosdaq,2026-08-28,"3,770","4,040","3,605","3,910",+504.33%,+16.20%,800,25.72,"1,837,308","7,183",418
기타 사업지원 서비스업,기업신용조사 보고서,130580,나이스디앤비,kosdaq,2026-09-10,"6,400","6,440","6,390","6,420",+15.26%,+14.85%,20,0.31,"3,091",19,988
기타 생활용품 소매업,"침실가구, 거실가구, 옷장/수납, 주방가구 등",415380,스튜디오삼익,kosdaq,2026-09-10,"2,170","2,210","2,120","2,205",+22.50%,+9.98%,35,1.61,"18,697",41,252
기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등,238200,비피도,kosdaq,2026-08-28,"2,790","2,890","2,715","2,815",+12.83%,+2.55%,70,2.55,"3,012",8,230
기타 전문 도매업,휘발유등,024060,흥구석유,kosdaq,2026-09-10,"14,510","17,310","15,600","15,880",+44.89%,+46.77%,"1,370",9.44,"8,723,277","138,525","2,382"
기타 정보 서비스업,축산물 도소매 판매 및 중개,475460,미트박스,kosdaq,2026-09-10,"8,480","8,700","8,390","8,600",+32.31%,+5.26%,120,1.42,"18,442",158,485
"도축, 육류 가공 및 저장 처리업","육계, 사료",066360,체리부로,kosdaq,2026-09-10,"1,471","1,486","1,459","1,473",+95.36%,+6.89%,2,0.14,"7,616",11,353
동물용 사료 및 조제식품 제조업,사료,027710,팜스토리,kosdaq,2026-09-10,"1,148","1,160","1,144","1,154",+4.53%,+1.05%,6,0.52,"140,283",161,"1,285"
무점포 소매업,전자상거래,035080,그래디언트,kosdaq,2026-08-28,"12,250","12,420","12,210","12,400",+39.33%,+3.51%,150,1.22,"7,922",98,"1,385"
반도체 제조업,"DRIVER-IC,DDI Package,트랜스포머,코일",043590,웰킵스하이텍,kosdaq,2026-09-10,"1,510","1,519","1,497","1,511",+45.85%,+1.48%,1,0.07,"6,288",9,205
반도체 제조업,Micro/Mini-LED Display Driver IC,452430,사피엔반도체,kosdaq,2026-09-10,"37,100","38,500","35,700","38,150",+7.16%,+9.00%,"1,050",2.83,"16,248",619,"3,149"
반도체 제조업,시스템 반도체 개발,117670,알파칩스,kosdaq,2026-06-18,"11,390","13,580","11,500","13,580",+10.32%,+66.42%,"3,130",29.95,"360,297","4,892",904
부동산 임대 및 공급업,부동산,001000,신라섬유,kosdaq,2026-06-23,"1,500","2,550","2,050","2,400",+76.86%,+419.48%,"1,938",419.48,"170,161",408,582
소프트웨어 개발 및 공급업,AI 영상 분석 솔루션 및 소프트웨어,291810,핀텔,kosdaq,2026-09-10,"1,763","1,979","1,703","1,979",+67.43%,+23.53%,216,12.25,"210,816",417,224
소프트웨어 개발 및 공급업,E-Commerce Platform 구축,367000,플래티어,kosdaq,2026-09-04,"3,545","3,615","3,470","3,547",+17.45%,+0.06%,22,0.62,"1,939",6,297
소프트웨어 개발 및 공급업,XR 실감형콘텐츠,431190,케이쓰리아이,kosdaq,2026-09-10,"3,185","3,750","3,105","3,525",+35.06%,+13.71%,340,10.68,"172,027",606,263
